filterType;filterIrlMake;filterLocation;img;GTA Make;GTA Model;Type;Real Make;Real Model;Storage
AC Shelby;Sports Classic;Nightclub lvl 3;Mamba;Declasse;Mamba;Sports Classic;AC Shelby;Cobra;Nightclub lvl 3
Alfa Romeo Giulia;Sports;Office 2A;Komoda;Lampadati;Komoda;Sports;Alfa Romeo Giulia;Giulia;Office 2A
Ariel;Off-Road;Penthouse;Vagrant;Maxwell;Vagrant;Off-Road;Ariel;Nomad;Penthouse
Audi;Sports;Office 1C;Omnis;Obey;Omnis;Sports;Audi;Quattro;Office 1C
Audi;SUV;Office 1C;Rocoto;Obey;Rocoto;SUV;Audi;Q5;Office 1C
Bentley;Coupes;Office 3A;bentlyshortboi;Enus;Cognoscenti Cabrio;Coupes;Bentley;Continental GTC;Office 3A
Bentley;Sedan;Office 3A;bentlylongboy;Enus;Cognoscenti;Sedan;Bentley;Continental Flying Spur;Office 3A
Bentley;SUV;Office 3A;HuntleyS;Enus;Huntley S;SUV;Bentley;EXP 9 F;Office 3A
BMW;Coupes;Office 1A;Zion;Ubermacht;Zion;Coupes;BMW;6 Series E63;Office 1A
BMW;Coupes;Office 1A;Oricle;Ubermacht;Oracle;Coupes;BMW;6 Series Gran Coupé;Office 1A
BMW;Coupes;Office 1A;SentinalXS;Ubermacht;Sentinal XS;Coupes;BMW;M3 E92;Office 1A
BMW;Coupes;Office 1A;ZionCabrio;Ubermacht;Zion Cabrio;Coupes;BMW;M6 Convertible;Office 1A
BMW;Sports;Office 1A;SentinalClassic;Ubermacht;Sentinal Classic;Sports;BMW;M3 E30;Office 1A
Bugatti;Sports Classic;Penthouse;ztype;Truffade;Z-Type;Sports Classic;Bugatti;Type 57 Atlantic;Penthouse
Bugatti;Super;Penthouse;Adder;Truffade;Adder;Super;Bugatti;Veyron;Penthouse
Buick;Muscle;Nightclub lvl 2;Buccender;Albany;Buccender;Muscle;Buick;Riviera;Nightclub lvl 2
Cadillac;Muscle;Arcade;Lurcher;Albany;Lurcher;Muscle;Cadillac;Funeral Coach;Arcade
Cadillac;Sports Classic;Nightclub lvl 3;Manhana;Albany;Manhana;Sports Classic;Cadillac;Eldorado;Nightclub lvl 3
Campagna;Sports;Arcade;Raptor;BF;Raptor;Sports;Campagna;T-Rex;Arcade
Chevrolet;Muscle;Nightclub lvl 2;Moonbeam;Declasse;Moonbeam;Muscle;Chevrolet;Astro;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;Vigero;Declasse;Vigero;Muscle;Chevrolet;Camaro;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;Tulip;Declasse;Tulip;Muscle;Chevrolet;Chevelle Malibu;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;VoodooCustom;Declasse;Voodoo Custom;Muscle;Chevrolet;Impala;Nightclub lvl 2
Chevrolet;Sports Classic;Nightclub lvl 2;CoquetteCalisc;Invetero;Coquette Calisc;Sports Classic;Chevrolet;Corvette C2;Nightclub lvl 2
Devel Motors;Super;Penthouse;Devel8;Principe;Deveste Eight;Super;Devel Motors;Devel Sixteen;Penthouse
Dodge;Muscle;3655 Wild Oats Dr;Dukes;Imponte;Dukes;Muscle;Dodge;Charger;3655 Wild Oats Dr
Dodge;Muscle;4401 ProCopio Dr;Ratloader;Bravado;Rat-loader;Muscle;Dodge;Power Wagon;4401 ProCopio Dr
Dodge;Super;Nightclub lvl 3;Banshee900RR;Bravado;Banshee 900 RR;Super;Dodge;Viper SR;Nightclub lvl 3
Ferrari;Sports Classic;Office 2C;TurismoClassic;Grotti;Turismo Classic;Sports Classic;Ferrari;F40;Office 2C
Ferrari;Sports;Office 2C;ItaliGTO;Grotti;Itali GTO;Sports;Ferrari;812 Superfast;Office 2C
Ferrari;Sports;Office 2C;Carbonizzare;Grotti;Carbonizzare;Sports;Ferrari;F12;Office 2C
Ferrari;Super;Office 2C;X80Proto;Grotti;X80 Proto;Super;Ferrari;F80;Office 2C
Ferrari;Super;Office 2C;TurismoR;Grotti;Turismo R;Super;Ferrari;LaFerrari;Office 2C
Ford;Muscle;Del Perro Hights 4;Clique;Vapid;Clique;Muscle;Ford;Coupe;Del Perro Hights 4
Ford;Muscle;Del Perro Hights 4;Dominator;Vapid;Dominator;Muscle;Ford;Mustang 5th Gen;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;RetinueMkII;Vapid;Retinue MkII;Sports Classic;Ford;Escort Mk2;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;RetinueMkIIRally;Vapid;Retinue MkII;Sports Classic;Ford;Escort Mk2 Rally;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;Retinue;Vapid;Retinue;Sports Classic;Ford;Escort MkI;Del Perro Hights 4
Ford;Sports;Del Perro Hights 4;FlasgGT;Vapid;Flash GT;Sports;Ford;Focus RS RX (WRX);Del Perro Hights 4
Ford;Sports;Del Perro Hights 4;DriftTampa;Declasse;Drift Tampa;Sports;Ford;Mustang Hoonicorn RTR;Del Perro Hights 4
Ford;Super;Del Perro Hights 4;FMJ;Vapid;FMJ;Super;Ford;GT;Del Perro Hights 4
Ford;Off-Road;Del Perro Hights 4;TrophyTruck;Vapid;Trophy Truck;Off-Road;Ford;F-150 Baja;Del Perro Hights 4
Ford;Off-Road;Del Perro Hights 4;SandkingXL;Vapid;Sandking XL;Off-Road;Ford;Super Duty;Del Perro Hights 4
Holden;Sedan;Penthouse;Fugitive;Chevel;Fugitive;Sedan;Holden;Caprice;Penthouse
Honda;Compacts;3 Alta str;BlistaKanjo;Dinka;Blista Kanjo;Compacts;Honda;Civic Type R EK9;3 Alta str
Honda;Sports;3 Alta str;Sugoi;Dinka;Sugoi;Sports;Honda;Civic Type R FK8;3 Alta str
Honda;Sports;3 Alta str;BlistaCompact;Dinka;Blista Compact;Sports;Honda;CR-X 1st Gen;3 Alta str
Honda;Sports;3 Alta str;Jester;Dinka;Jester;Sports;Honda;NSX;3 Alta str
Hyundai ;Compacts;3655 Wild Oats Dr;Prairie;Bollokan;Prairie;Compacts;Hyundai ;Tiburon;3655 Wild Oats Dr
Jaguar;Coupes;Office 3B;F620;Ocelot;F620;Coupes;Jaguar;XK (X150);Office 3B
Jaguar;Sports Classic;Office 3B;Swinger;Ocelot;Swinger;Sports Classic;Jaguar;XJ13;Office 3B
Jaguar;Super;Office 3B;Penetrator;Ocelot;Penetrator;Super;Jaguar;XJ220;Office 3B
Lamborghini;Sports Classic;Office 2B;Torero;Pegassi;Torero;Sports Classic;Lamborghini;Countach;Office 2B
Lamborghini;Sports Classic;Office 2B;InfernusClassic;Pegassi;Infernus Classic;Sports Classic;Lamborghini;Diablo;Office 2B
Lamborghini;Sports Classic;Office 2B;Monroe;Pegassi;Monroe;Sports Classic;Lamborghini;Miura;Office 2B
Lamborghini;Super;Office 2B;Tempesta;Pegassi;Vacca;Super;Lamborghini;Gallardo;Office 2B
Lamborghini;Super;Office 2B;Reaper;Pegassi;Reaper;Super;Lamborghini;Huracán;Office 2B
Lamborghini;Super;Office 2B;Infernus;Pegassi;Infernus;Super;Lamborghini;Murciélago;Office 2B
Lamborghini;Super;Office 2B;Zentorno;Pegassi;Zentorno;Super;Lamborghini;Sesto Elemento;Office 2B
Land Rover;SUV;Office 3A;Baller;Gallivanter;Baller;SUV;Land Rover;Range Rover;Office 3A
Lexus;Super;Penthouse;ETR1;Emperor;ETR1;Super;Lexus;Vision Gran Turismo;Penthouse
Lincoln;Sedan;Arcade;RomeroHearse;Chariot;Romero Hearse;Sedan;Lincoln;Town Car Hearse;Arcade
Lotus;Sports;Office 3B;Locust;Ocelot;Locust;Sports;Lotus;3-Eleven;Office 3B
Maserati;Coupes;Office 2A;FelonGT;Lampadati;Felon GT;Coupes;Maserati;GranCabrio;Office 2A
Maserati;Coupes;Office 2A;Felon;Lampadati;Felon;Coupes;Maserati;Quattroporte;Office 2A
